Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE	Absolute score (sig.score)
C306_A1_G1	0	0	1.35903832789761	5.26372358234934	0	0.581099741232346	3.55432829976772	0.041696323005996	0	0.469081525749733	0.776302756974621	0	0	0.321383944336132	1.13874133182686	1.33667498990295	0	1.0315243173891	0.127069636050738	0	0	0	0.003	0.368867454903847	0.936019457319634	16.0006647764831
C306_A1_G3	0	0	1.1379578515696	3.3895691060315	0	0	3.81075865566106	0.428688211082542	0	0.0823998921949074	0.421194126090427	0	0	0.216368978295344	1.21363057658972	1.22988917352511	0.198349077867722	0	0.653944023572444	0	0	0.040447302529109	0.003	0.340408819805755	0.944900984189546	12.8231969750095
C306_B1_G1	0	0	0.154993234747592	8.30120434187696	0	0	4.30236321556128	0.640183730078238	1.39469158136368	2.08487261401399	0	0.691270211940525	0	0.75944902561361	0.687120873631456	0.650599473212263	0.519996495922578	0.089467076589585	0.421007833526195	0	0.0206496627753261	0	0.01	0.244216418194423	1.02192904682415	20.7178693708533
C306_B1_G2	0	0	0.445113120749692	7.8585999980372	0	0	1.751704069147	0.295739600550919	0.324788316742335	0.630173647056078	3.26341335800445	0	0.0707250850429871	1.10014341076118	0.417923432491732	1.16147969144574	0	0.695197461273432	0	0	0	0	0.004	0.323820278498953	0.98698454388705	18.0150011913027
C516_B1_G7	0	0.616178245857748	0	0.188550576105941	0	3.00049150757788	3.48315037413901	0.591415091943557	0	0.668052387207491	0.879450436850246	0	0	2.93907731940078	2.39120254265569	0	0.888231627279527	0.399926601586929	0	1.14413631015035	0.14990013812069	0	0.00900000000000001	0.247891815170482	0.992659776804736	17.3397631588758
C516_B3_B1	0	0	1.14072193550144	3.74929513390039	0	1.93080193024675	2.73937351459535	0.516694672213459	0.0243213558086889	0	1.11399378048972	0	0	4.7947862633511	1.61553905858873	0	0.0643852404125676	0	0	1.32236614393511	0.0336811854449969	0	0.024	0.173534715905718	1.02924188472061	19.0459602144883
C516_C1_B1	0	0	1.86066188422876	0.577140886879525	0	2.86599376362489	0	0	0	0	0.156534505274288	0	0	1.70621438270419	0.691655509664085	1.04972232939994	0.00281172883340271	0.256648346009091	0.245219884094439	0	1.05337837681566	0	0.729	-0.0146606432238751	1.08240426920194	10.4659815975283
C516_C1_G7	0	0	3.07598466220254	0	0	5.27285909481637	0	0	0.520927699520562	0	0.358994791205463	0.035816522258758	0.106717709914614	2.01583206921258	0.724817328107212	1.104799784185	0	0	0.772506144406178	0	0	0	0.309	0.0310395106033025	1.06460583928967	13.9892558058293
C516_D1_B1	0.965096531626017	0	0	0	0	2.14162084647425	1.06895762956351	0.172048868385111	0	0	0.0675125135877475	0.0873173932441016	0	1.43529894840872	0.423698362679664	0.665924189015548	1.12189534041724	0	0	0.0446407552557469	1.05202798882427	0	0.631	-0.00625110468488654	1.08041834134566	9.24603936748193
C516_D1_G2	1.98063408702853	0	0	0.026598541421057	0	2.57933994736654	0	0.610885398633164	0	0.184945877580291	0	0	0	1.0073248117056	0.117937664424967	0.612979356434964	0	0.315151916911138	0	0.943369308597799	0.787902881875959	0	0.427	0.0142726472760655	1.08380769897332	9.16706979198
