sample	bampath	samplePASS	bamUSE
C516_A1_B1	/SAN/colcc/EPICC/epicc_pipeline/data/C516/small_rna/star_alignment/validated/EPICC_C516_A1_B1_S1-GRCh38.bam	FAIL	NO
C516_A1_G4	/SAN/colcc/EPICC/epicc_pipeline/data/C516/small_rna/star_alignment/validated/EPICC_C516_A1_G4_S1-GRCh38.bam	FAIL	NO
C516_B1_G7	/SAN/colcc/EPICC/epicc_pipeline/data/C516/small_rna/star_alignment/validated/EPICC_C516_B1_G7_S1-GRCh38.bam	PASS	USE
C516_B1_G8	/SAN/colcc/EPICC/epicc_pipeline/data/C516/small_rna/star_alignment/validated/EPICC_C516_B1_G8_S1-GRCh38.bam	FAIL	NO
C516_B3_B1	/SAN/colcc/EPICC/epicc_pipeline/data/C516/small_rna/star_alignment/validated/EPICC_C516_B3_B1_S1-GRCh38.bam	PASS	USE
C516_B3_G9	/SAN/colcc/EPICC/epicc_pipeline/data/C516/small_rna/star_alignment/validated/EPICC_C516_B3_G9_S1-GRCh38.bam	FAIL	NO
C516_E1_B1	/SAN/colcc/EPICC/epicc_pipeline/data/C516/small_rna/star_alignment/validated/EPICC_C516_E1_B1_S1-GRCh38.bam	PASS	USE
C518_A1_G6	/SAN/colcc/EPICC/epicc_pipeline/data/C518/rna/star_alignment/validated/EPICC_C518_A1_G6_R1-GRCh38.bam	FAIL	NO
C518_C1_G8	/SAN/colcc/EPICC/epicc_pipeline/data/C518/rna/star_alignment/validated/EPICC_C518_C1_G8_R1-GRCh38.bam	FAIL	NO
C518_D1_G6	/SAN/colcc/EPICC/epicc_pipeline/data/C518/rna/star_alignment/validated/EPICC_C518_D1_G6_R1-GRCh38.bam	FAIL	NO
C518_D1_G8	/SAN/colcc/EPICC/epicc_pipeline/data/C518/rna/star_alignment/validated/EPICC_C518_D1_G8_R1-GRCh38.bam	FAIL	NO
C518_E1_B1	/SAN/colcc/EPICC/epicc_pipeline/data/C518/rna/star_alignment/validated/EPICC_C518_E1_B1_R1-GRCh38.bam	FAIL	NO
C518_A1_G9	/SAN/colcc/EPICC/epicc_pipeline/data/C518/small_rna/star_alignment/validated/EPICC_C518_A1_G9_S1-GRCh38.bam	FAIL	NO
C518_B1_G10	/SAN/colcc/EPICC/epicc_pipeline/data/C518/small_rna/star_alignment/validated/EPICC_C518_B1_G10_S1-GRCh38.bam	FAIL	NO
C518_B1_G1	/SAN/colcc/EPICC/epicc_pipeline/data/C518/small_rna/star_alignment/validated/EPICC_C518_B1_G1_S1-GRCh38.bam	PASS	USE
C518_B1_G4	/SAN/colcc/EPICC/epicc_pipeline/data/C518/small_rna/star_alignment/validated/EPICC_C518_B1_G4_S1-GRCh38.bam	FAIL	NO
C518_B1_G6	/SAN/colcc/EPICC/epicc_pipeline/data/C518/small_rna/star_alignment/validated/EPICC_C518_B1_G6_S1-GRCh38.bam	PASS	USE
C518_B1_G7	/SAN/colcc/EPICC/epicc_pipeline/data/C518/small_rna/star_alignment/validated/EPICC_C518_B1_G7_S1-GRCh38.bam	FAIL	NO
C518_B1_G8	/SAN/colcc/EPICC/epicc_pipeline/data/C518/small_rna/star_alignment/validated/EPICC_C518_B1_G8_S1-GRCh38.bam	FAIL	NO
C518_B1_G9	/SAN/colcc/EPICC/epicc_pipeline/data/C518/small_rna/star_alignment/validated/EPICC_C518_B1_G9_S1-GRCh38.bam	PASS	USE
C518_C1_G10	/SAN/colcc/EPICC/epicc_pipeline/data/C518/small_rna/star_alignment/validated/EPICC_C518_C1_G10_S1-GRCh38.bam	FAIL	NO
C518_C1_G1	/SAN/colcc/EPICC/epicc_pipeline/data/C518/small_rna/star_alignment/validated/EPICC_C518_C1_G1_S1-GRCh38.bam	PASS	USE
C518_C1_G3	/SAN/colcc/EPICC/epicc_pipeline/data/C518/small_rna/star_alignment/validated/EPICC_C518_C1_G3_S1-GRCh38.bam	FAIL	NO
C518_C1_G5	/SAN/colcc/EPICC/epicc_pipeline/data/C518/small_rna/star_alignment/validated/EPICC_C518_C1_G5_S1-GRCh38.bam	FAIL	NO
C518_C1_G9	/SAN/colcc/EPICC/epicc_pipeline/data/C518/small_rna/star_alignment/validated/EPICC_C518_C1_G9_S1-GRCh38.bam	FAIL	NO
C518_D1_B1	/SAN/colcc/EPICC/epicc_pipeline/data/C518/small_rna/star_alignment/validated/EPICC_C518_D1_B1_S1-GRCh38.bam	PASS	USE
C518_D1_G10	/SAN/colcc/EPICC/epicc_pipeline/data/C518/small_rna/star_alignment/validated/EPICC_C518_D1_G10_S1-GRCh38.bam	PASS	USE
C518_D1_G1	/SAN/colcc/EPICC/epicc_pipeline/data/C518/small_rna/star_alignment/validated/EPICC_C518_D1_G1_S1-GRCh38.bam	FAIL	NO
C518_D1_G8	/SAN/colcc/EPICC/epicc_pipeline/data/C518/small_rna/star_alignment/validated/EPICC_C518_D1_G8_S1-GRCh38.bam	FAIL	NO
C518_D1_G9	/SAN/colcc/EPICC/epicc_pipeline/data/C518/small_rna/star_alignment/validated/EPICC_C518_D1_G9_S1-GRCh38.bam	PASS	USE
C518_E1_B2	/SAN/colcc/EPICC/epicc_pipeline/data/C518/small_rna/star_alignment/validated/EPICC_C518_E1_B2_S1-GRCh38.bam	FAIL	NO
C519_B1_G3	/SAN/colcc/EPICC/epicc_pipeline/data/C519/rna/star_alignment/validated/EPICC_C519_B1_G3_R1-GRCh38.bam	FAIL	NO
C519_B1_G8	/SAN/colcc/EPICC/epicc_pipeline/data/C519/rna/star_alignment/validated/EPICC_C519_B1_G8_R1-GRCh38.bam	FAIL	NO
C519_E1_B1	/SAN/colcc/EPICC/epicc_pipeline/data/C519/rna/star_alignment/validated/EPICC_C519_E1_B1_R1-GRCh38.bam	PASS	USE
C519_B1_B1	/SAN/colcc/EPICC/epicc_pipeline/data/C519/small_rna/star_alignment/validated/EPICC_C519_B1_B1_S1-GRCh38.bam	FAIL	NO
C519_B1_G10	/SAN/colcc/EPICC/epicc_pipeline/data/C519/small_rna/star_alignment/validated/EPICC_C519_B1_G10_S1-GRCh38.bam	FAIL	NO
C519_C1_B1	/SAN/colcc/EPICC/epicc_pipeline/data/C519/small_rna/star_alignment/validated/EPICC_C519_C1_B1_S1-GRCh38.bam	PASS	USE
C519_D1_G8	/SAN/colcc/EPICC/epicc_pipeline/data/C519/small_rna/star_alignment/validated/EPICC_C519_D1_G8_S1-GRCh38.bam	FAIL	NO
C522_A1_G1	/SAN/colcc/EPICC/epicc_pipeline/data/C522/rna/star_alignment/validated/EPICC_C522_A1_G1_R1-GRCh38.bam	FAIL	NO
C522_A1_G6	/SAN/colcc/EPICC/epicc_pipeline/data/C522/rna/star_alignment/validated/EPICC_C522_A1_G6_R1-GRCh38.bam	FAIL	NO
C522_C1_G6	/SAN/colcc/EPICC/epicc_pipeline/data/C522/rna/star_alignment/validated/EPICC_C522_C1_G6_R1-GRCh38.bam	FAIL	NO
C522_C1_G8	/SAN/colcc/EPICC/epicc_pipeline/data/C522/rna/star_alignment/validated/EPICC_C522_C1_G8_R1-GRCh38.bam	FAIL	NO
C522_D1_G10	/SAN/colcc/EPICC/epicc_pipeline/data/C522/rna/star_alignment/validated/EPICC_C522_D1_G10_R1-GRCh38.bam	FAIL	NO
C522_E1_B1	/SAN/colcc/EPICC/epicc_pipeline/data/C522/rna/star_alignment/validated/EPICC_C522_E1_B1_R1-GRCh38.bam	FAIL	NO
